Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
170,4BetAllInAt12Dollars,12.0,10,12.0,10,12.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
171,4BetAllInAt12Dollars,12.0,10,12.0,2,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
172,4BetAllInAt12Dollars,12.0,10,12.0,4,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
173,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
174,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
175,4BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
176,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
177,4BetAllInAt12Dollars,12.0,10,12.0,10,24.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
178,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
179,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
180,4BetAllInAt12Dollars,12.0,10,12.0,7,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
181,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
182,4BetAllInAt12Dollars,12.0,10,12.0,10,21.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
183,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
184,4BetAllInAt12Dollars,12.0,10,12.0,4,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
185,4BetAllInAt12Dollars,12.0,10,12.0,3,3.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
186,4BetAllInAt12Dollars,12.0,10,12.0,3,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
187,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
188,4BetAllInAt12Dollars,12.0,10,12.0,10,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
189,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
190,4BetAllInAt12Dollars,12.0,10,12.0,5,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
191,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
192,4BetAllInAt12Dollars,12.0,10,12.0,7,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
