Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
385,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
386,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
387,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
388,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
389,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
390,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
391,1BetAllInAt12Dollars,12,10,12,10,0,FISH:12.0
392,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
393,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
394,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
395,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
396,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
397,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
398,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
