Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
356,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
357,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
358,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
359,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
360,ConserveBet1,12.0,10,6.0,7,0.0,FISH:6.0
361,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
362,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
363,ConserveBet1,12.0,10,6.0,9,0.0,FISH:6.0
364,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
365,ConserveBet1,12.0,10,6.0,4,0.0,FISH:6.0
366,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
367,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
368,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
369,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
370,ConserveBet1,12.0,10,6.0,10,0.0,FISH:6.0
371,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
372,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
373,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
374,ConserveBet1,12.0,10,6.0,10,0.0,FISH:6.0
375,ConserveBet1,12.0,10,6.0,10,0.0,FISH:6.0
376,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
377,ConserveBet1,12.0,10,6.0,5,0.0,FISH:6.0
378,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
379,ConserveBet1,12.0,10,6.0,9,0.0,FISH:6.0
380,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
381,ConserveBet1,12.0,10,6.0,10,6.0,FISH:6.0
382,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
383,ConserveBet1,12.0,10,6.0,5,0.0,FISH:6.0
384,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
385,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
386,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
387,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
388,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
389,ConserveBet1,12.0,10,6.0,10,0.0,FISH:6.0
390,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
391,ConserveBet1,12.0,10,6.0,6,0.0,FISH:6.0
392,ConserveBet1,12.0,10,6.0,10,24.0,FISH:6.0
393,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
394,ConserveBet1,12.0,10,6.0,2,0.0,FISH:6.0
395,ConserveBet1,12.0,10,6.0,10,18.0,FISH:6.0
396,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
397,ConserveBet1,12.0,10,6.0,8,0.0,FISH:6.0
398,ConserveBet1,12.0,10,6.0,10,30.0,FISH:6.0
